anime_id,genres
34944,Action
28725,Drama
8525,Comedy
9289,Drama
33095,Drama
37208,Action
37435,Drama
34437,Action
31859,Action
39196,Comedy
154,Action
6351,Drama
49114,Supernatural
38481,Action
138,Action
34591,Drama
18897,Comedy
30727,Comedy
264,Sports
28927,Action
3927,Action
139,Action
21329,Adventure
329,Drama
1689,Drama
10521,Comedy
1033,Action
37786,Drama
40262,Sports
36028,Action
120,Drama
15039,Drama
30230,Sports
6213,Action
30885,Comedy
38084,Action
6033,Action
18179,Comedy
40046,Mystery
28121,Action
40059,Action
18195,Comedy
4107,Action
12113,Action
10721,Avant Garde
12413,Action
8516,Comedy
29093,Drama
33051,Action
32729,Drama
2605,Comedy
34542,Action
15227,Drama
20767,Comedy
24439,Action
39486,Action
36106,Action
8795,Action
3782,Action
5690,Comedy
49721,Comedy
4280,Action
31490,Action
36474,Action
1827,Action
4477,Comedy
36896,Action
387,Drama
40729,Drama
19111,Slice of Life
137,Action
39597,Action
22961,Romance
2924,Drama
202,Action
239,Drama
530,Romance
846,Comedy
40221,Action
31765,Action
28677,Comedy
38080,Drama
34902,Comedy
13331,Action
31704,Action
597,Adventure
21405,Slice of Life
37379,Drama
16,Comedy
43523,Action
6956,Comedy
13667,Action
9919,Action
20159,Action
3091,Comedy
3785,Action
372,Comedy
1430,Action
40397,Comedy
24277,Sports
23321,Action
31772,Action
33502,Drama
3167,Sci-Fi
317,Action
22265,Sports
21877,Comedy
71,Action
187,Action
18671,Comedy
32542,Comedy
12431,Comedy
38349,Romance
265,Sports
5530,Adventure
39575,Adventure
226,Action
10049,Action
11111,Horror
37141,Comedy
15,Sports
28957,Adventure
10012,Comedy
17389,Action
24765,Horror
28249,Action
6421,Drama
30370,Action
22199,Action
10218,Action
8408,Action
15059,Action
6007,Adventure
12403,Comedy
2952,Action
26243,Action
440,Comedy
31764,Action
5941,Drama
40174,Comedy
543,Action
2104,Comedy
10029,Romance
721,Comedy
6347,Comedy
21843,Action
9941,Action
11123,Boys Love
34134,Action
210,Comedy
49909,Comedy
14227,Comedy
6862,Comedy
15451,Action
323,Avant Garde
39570,Comedy
322,Comedy
21339,Action
34914,Comedy
24687,Adventure
528,Action
31715,Comedy
36038,Comedy
1142,Drama
35363,Fantasy
41433,Action
44931,Comedy
8675,Comedy
37078,Action
4789,Drama
135,Comedy
150,Action
22,Sports
31953,Comedy
44055,Boys Love
38790,Action
18617,Sports
8937,Action
1571,Horror
4106,Action
10620,Action
2593,Action
24997,Slice of Life
10161,Action
18661,Comedy
627,Comedy
20847,Comedy
4814,Boys Love
33988,Comedy
35972,Action
30296,Action
33253,Action
270,Action
38659,Action
31174,Comedy
19489,Adventure
2685,Action
12031,Action
532,Drama
1254,Adventure
17729,Drama
42351,Comedy
40730,Action
18753,Comedy
38450,Action
32366,Comedy
1365,Adventure
468,Sci-Fi
9926,Boys Love
2787,Action
93,Action
22147,Comedy
21659,Action
40615,Boys Love
47194,Mystery
22101,Adventure
13535,Comedy
5231,Sports
10793,Action
23277,Comedy
5028,Comedy
31051,Action
34561,Action
16904,Action
20785,Action
1594,Horror
5678,Comedy
3572,Action
32268,Comedy
35677,Drama
9062,Comedy
228,Horror
430,Comedy
10495,Comedy
30279,Comedy
4472,Comedy
37349,Action
34537,Comedy
8142,Drama
31098,Action
24703,Action
7465,Sci-Fi
39808,Slice of Life
558,Comedy
20031,Comedy
27991,Action
11737,Action
37976,Comedy
15315,Action
7647,Comedy
5781,Action
14467,Action
6171,Action
12893,Comedy
10790,Action
5365,Award Winning
27663,Sports
1842,Drama
21185,Sports
874,Adventure
30694,Action
6336,Action
40540,Action
1566,Mystery
41120,Comedy
9734,Comedy
19775,Action
38145,Comedy
41587,Action
36904,Comedy
22777,Action
24405,Action
40571,Adventure
50612,Adventure
355,Action
267,Action
48849,Mystery
3228,Comedy
12029,Action
97,Action
40010,Comedy
9074,Comedy
7592,Action
14807,Drama
1562,Comedy
3470,Comedy
481,Action
37515,Adventure
38731,Sports
36286,Fantasy
2994,Supernatural
14289,Drama
40907,Action
90,Action
18245,Drama
43439,Slice of Life
570,Drama
38555,Comedy
8247,Action
3701,Adventure
996,Adventure
60,Action
7655,Comedy
37956,Romance
400,Action
857,Action
38414,Drama
731,Adventure
3226,Comedy
40454,Action
21327,Comedy
1840,Action
740,Romance
33731,Comedy
1281,Horror
9130,Action
41488,Comedy
32370,Action
11319,Adventure
18119,Comedy
114,Comedy
20651,Drama
3092,Boys Love
36470,Comedy
37985,Comedy
8086,Action
10119,Comedy
4087,Action
31592,Action
28755,Action
153,Action
15117,Comedy
2164,Adventure
16011,Action
25517,Adventure
6573,Action
11617,Comedy
27633,Comedy
401,Drama
14131,Action
25015,Action
23281,Action
22097,Action
32828,Comedy
35240,Action
8407,Comedy
6945,Action
122,Comedy
31580,Action
40496,Action
50360,Drama
3297,Fantasy
4725,Action
33071,Action
25161,Adventure
31798,Drama
8740,Adventure
17909,Comedy
985,Adventure
42429,Fantasy
25303,Sports
16524,Action
38422,Comedy
81,Adventure
48483,Comedy
37984,Action
59,Comedy
16916,Sports
13663,Comedy
29854,Action
22729,Action
15323,Action
29787,Comedy
949,Action
4654,Action
25183,Action
1364,Adventure
24893,Action
27787,Comedy
42361,Comedy
2154,Action
43609,Comedy
12291,Comedy
10357,Adventure
4835,Action
967,Action
44087,Action
33506,Action
36990,Slice of Life
40682,Action
527,Action
33191,Action
15051,Slice of Life
37033,Comedy
37514,Adventure
37497,Drama
44940,Action
40620,Comedy
42916,Action
6372,Mystery
18139,Comedy
26213,Comedy
781,Adventure
534,Adventure
