anime_id,type,episodes,source,rating,start_year,start_season,demographics
18115,tv,25,Non-Original,pg_13,2013,fall,Shounen
36456,tv,25,Non-Original,pg_13,2018,spring,Shounen
33674,movie,1,Non-Original,pg_13,2017,summer,None
34572,tv,170,Non-Original,pg_13,2017,fall,Shounen
25781,ova,2,Non-Original,r,2014,fall,Shoujo
40834,tv,23,Non-Original,pg_13,2021,fall,None
11843,tv,12,Non-Original,pg_13,2012,winter,None
41487,tv,12,Non-Original,pg_13,2021,summer,None
6547,tv,13,original,pg_13,2010,spring,None
41025,tv,20,Non-Original,r,2021,spring,Shounen
6746,tv,24,Non-Original,r,2010,winter,None
40852,tv,11,Non-Original,pg_13,2021,winter,Shounen
32867,tv,12,Non-Original,r,2016,fall,Seinen
20899,tv,24,Non-Original,r,2014,spring,Shounen
37987,movie,1,Non-Original,pg_13,2020,summer,None
32282,tv,13,Non-Original,pg_13,2016,summer,Shounen
1210,tv,24,Non-Original,r+,2006,summer,None
13759,tv,24,Non-Original,pg_13,2012,fall,None
136,tv,62,Non-Original,pg_13,1999,fall,Shounen
49926,tv,7,Non-Original,r,2021,fall,Shounen
2966,tv,13,Non-Original,pg_13,2008,winter,None
47,movie,1,Non-Original,r+,1988,summer,Seinen
31646,tv,22,Non-Original,pg_13,2016,fall,Seinen
3784,movie,1,original,pg_13,2009,summer,None
35180,tv,22,Non-Original,pg_13,2017,fall,Seinen
40417,tv,25,Non-Original,pg_13,2020,spring,Shoujo
42938,tv,13,Non-Original,pg_13,2021,spring,Shoujo
877,tv,47,Non-Original,r+,2006,spring,Shoujo
39533,tv,11,Non-Original,pg_13,2019,summer,None
43,movie,1,Non-Original,r+,1995,fall,Seinen
18679,tv,24,original,pg_13,2013,fall,None
23283,tv,11,original,r,2014,summer,None
11771,tv,25,Non-Original,pg_13,2012,spring,Shounen
31181,tv,12,Non-Original,r,2015,fall,None
6,tv,26,Non-Original,pg_13,1998,spring,Shounen
12189,tv,22,Non-Original,pg_13,2012,spring,None
5341,tv,12,Non-Original,pg_13,2009,summer,None
35247,tv,7,Non-Original,r,2017,summer,None
42249,tv,24,Non-Original,r,2021,spring,Shounen
11597,tv,11,Non-Original,r,2012,winter,None
2236,movie,1,Non-Original,g,2006,summer,None
38680,tv,25,Non-Original,pg_13,2019,spring,Shoujo
10162,tv,11,Non-Original,pg_13,2011,summer,Josei
512,movie,1,Non-Original,g,1989,summer,None
13125,tv,25,Non-Original,r,2012,fall,None
35839,tv,13,original,pg_13,2018,winter,None
11981,movie,1,original,pg_13,2013,fall,None
10863,special,1,Non-Original,pg_13,2012,winter,None
33049,movie,1,Non-Original,r,2019,winter,None
20,tv,220,Non-Original,pg_13,2002,fall,Shounen
513,movie,1,original,pg,1986,summer,None
7791,tv,26,Non-Original,pg_13,2010,spring,None
41457,tv,11,Non-Original,r,2021,spring,None
35790,tv,25,Non-Original,pg_13,2019,winter,None
14813,tv,13,Non-Original,pg_13,2013,spring,None
12365,tv,25,Non-Original,pg_13,2012,fall,Shounen
40052,tv,23,original,r,2020,summer,None
39247,tv,12,Non-Original,pg_13,2021,summer,None
48569,tv,12,Non-Original,r,2021,fall,None
46095,tv,13,original,r,2021,spring,None
7054,tv,26,Non-Original,pg_13,2010,spring,Shoujo
39741,movie,1,Non-Original,pg_13,2019,summer,None
36862,movie,1,Non-Original,r,2020,winter,None
572,movie,1,Non-Original,pg_13,1984,winter,None
2167,tv,23,Non-Original,pg_13,2007,fall,None
20507,tv,12,Non-Original,pg_13,2014,winter,Shounen
35788,tv,12,Non-Original,pg_13,2017,fall,Shounen
46102,tv,13,original,pg_13,2021,spring,None
15417,tv,13,Non-Original,pg_13,2012,fall,Shounen
22135,tv,11,Non-Original,pg_13,2014,spring,Seinen
31964,tv,13,Non-Original,pg_13,2016,spring,Shounen
7674,tv,25,Non-Original,pg_13,2010,fall,Shounen
10030,tv,25,Non-Original,pg_13,2011,fall,Shounen
5,movie,1,original,r,2001,summer,None
39783,tv,12,Non-Original,pg_13,2021,winter,Shounen
38003,tv,12,Non-Original,r,2019,spring,Seinen
45,tv,94,Non-Original,pg_13,1996,winter,Shounen
33206,tv,13,Non-Original,pg_13,2017,winter,None
1519,tv,12,Non-Original,r,2006,fall,Seinen
2025,tv,25,original,r,2007,spring,None
6594,tv,12,Non-Original,r,2010,winter,None
34240,Non-Original,1,Non-Original,g,2016,fall,None
14513,tv,25,Non-Original,pg_13,2012,fall,Shounen
38408,tv,25,Non-Original,pg_13,2019,fall,Shounen
889,tv,12,Non-Original,r,2006,spring,Seinen
33050,movie,1,Non-Original,r,2020,summer,None
28805,movie,1,original,pg_13,2015,summer,None
5258,tv,26,Non-Original,pg_13,2009,winter,Shounen
30015,tv,13,Non-Original,pg_13,2016,summer,None
35557,tv,12,Non-Original,pg_13,2017,fall,Seinen
223,tv,153,Non-Original,pg_13,1986,winter,Shounen
227,ova,6,original,pg_13,2000,spring,None
9617,movie,1,Non-Original,pg_13,2011,fall,None
14719,tv,26,Non-Original,r,2012,fall,Shounen
29803,tv,13,Non-Original,r,2015,summer,None
1889,tv,24,Non-Original,r,2007,summer,None
25013,tv,24,Non-Original,pg_13,2014,fall,Shoujo
35062,tv,24,Non-Original,pg_13,2017,fall,Shounen
35851,movie,1,original,pg_13,2018,winter,None
467,tv,26,Non-Original,r,2002,fall,Seinen
40787,movie,1,Non-Original,pg_13,2020,fall,None
34096,tv,12,Non-Original,pg_13,2017,winter,Shounen
1604,tv,203,Non-Original,pg_13,2006,fall,Shounen
34798,tv,12,Non-Original,pg_13,2018,winter,None
25537,movie,1,Non-Original,r,2017,fall,None
6045,tv,25,Non-Original,pg_13,2009,fall,Shoujo
4081,tv,13,Non-Original,pg_13,2008,summer,Shoujo
17265,tv,25,Non-Original,pg_13,2013,fall,None
14713,tv,13,Non-Original,pg_13,2012,fall,Shoujo
6114,tv,26,Non-Original,r,2010,spring,Seinen
6675,movie,1,original,r+,2009,summer,None
32615,tv,12,Non-Original,r,2017,winter,None
36296,tv,12,Non-Original,pg_13,2018,spring,Seinen
44,ova,4,Non-Original,r,1999,winter,Shounen
35466,special,4,Non-Original,pg_13,2018,winter,None
37095,special,1,Non-Original,pg_13,2018,summer,None
35968,tv,11,Non-Original,pg_13,2018,spring,None
269,tv,366,Non-Original,pg_13,2004,fall,Shounen
48561,movie,1,Non-Original,r,2021,fall,Shounen
36946,movie,1,Non-Original,pg_13,2018,fall,Shounen
15335,movie,1,Non-Original,pg_13,2013,summer,Shounen
36949,tv,12,Non-Original,pg_13,2018,spring,Shounen
48661,ona,12,Non-Original,r,2021,fall,Shounen
48926,tv,12,Non-Original,pg_13,2021,fall,Shounen
37675,tv,13,Non-Original,r,2018,summer,None
7785,tv,11,Non-Original,r,2010,spring,None
12531,tv,12,Non-Original,pg_13,2012,spring,Josei
185,tv,26,Non-Original,pg_13,1998,spring,Seinen
37171,tv,12,Non-Original,pg_13,2018,summer,Seinen
16782,movie,1,original,pg_13,2013,spring,None
25681,tv,12,Non-Original,pg_13,2015,winter,Shoujo
5681,movie,1,original,pg_13,2009,summer,None
232,tv,70,Non-Original,pg,1998,spring,Shoujo
32995,tv,12,original,pg_13,2016,fall,None
585,movie,1,Non-Original,g,1995,summer,Shoujo
27775,tv,13,original,pg_13,2015,spring,None
2759,movie,1,original,pg_13,2007,summer,None
339,tv,13,original,r,1998,summer,None
34822,tv,12,original,pg_13,2017,spring,None
19647,tv,25,Non-Original,pg_13,2013,fall,Shounen
28025,tv,4,Non-Original,r,2014,fall,None
2034,tv,24,Non-Original,pg_13,2007,spring,Shoujo
2418,movie,1,original,r,2007,summer,None
4282,movie,1,Non-Original,r,2008,summer,None
1482,tv,103,Non-Original,pg_13,2006,fall,Shounen
35507,tv,12,Non-Original,pg_13,2017,summer,None
39565,movie,1,Non-Original,pg_13,2019,fall,Shounen
38668,tv,12,Non-Original,r,2020,winter,Seinen
3588,tv,51,Non-Original,pg_13,2008,spring,Shounen
10800,tv,25,Non-Original,pg_13,2011,fall,Josei
170,tv,101,Non-Original,pg_13,1993,fall,Shounen
1943,movie,1,Non-Original,r+,2006,fall,None
22319,tv,12,Non-Original,r,2014,summer,Seinen
3002,tv,26,Non-Original,r,2007,fall,Seinen
39195,tv,12,Non-Original,r,2019,fall,Shounen
5300,tv,13,Non-Original,pg_13,2009,winter,Shoujo
42923,tv,12,original,pg_13,2021,winter,None
8425,tv,24,Non-Original,r,2011,winter,None
15689,tv,4,Non-Original,r,2012,fall,None
5680,tv,13,Non-Original,pg_13,2009,spring,None
21939,tv,10,Non-Original,pg_13,2014,spring,Seinen
3786,movie,1,original,pg_13,2021,winter,None
934,tv,26,Non-Original,r,2006,spring,None
25835,tv,24,original,pg_13,2014,fall,None
41389,tv,12,Non-Original,pg_13,2020,fall,Shounen
22145,tv,10,Non-Original,r,2014,summer,Shounen
23289,tv,12,Non-Original,pg_13,2014,summer,None
37965,tv,23,Non-Original,pg_13,2018,fall,None
16067,tv,26,original,pg_13,2013,fall,None
2890,movie,1,original,g,2008,summer,None
10379,tv,13,Non-Original,pg_13,2011,summer,Shoujo
31478,tv,12,Non-Original,r,2016,spring,Seinen
57,tv,26,Non-Original,r,2004,fall,Shounen
9656,tv,12,Non-Original,pg_13,2011,winter,Shoujo
15809,tv,13,Non-Original,pg_13,2013,spring,None
14397,tv,25,Non-Original,pg_13,2013,winter,Josei
23199,tv,12,Non-Original,r,2015,winter,None
34626,ova,1,Non-Original,pg_13,2017,summer,None
849,tv,14,Non-Original,pg_13,2006,spring,None
30346,movie,1,Non-Original,pg_13,2016,winter,None
12859,movie,1,Non-Original,pg_13,2012,fall,Shounen
28297,tv,24,Non-Original,pg_13,2015,spring,Shoujo
759,movie,1,original,pg_13,2003,fall,None
11665,tv,13,Non-Original,pg_13,2012,winter,Shoujo
27821,special,1,Non-Original,pg_13,2014,fall,None
16049,tv,24,Non-Original,r,2013,spring,None
32188,special,1,Non-Original,pg_13,2015,fall,None
24701,tv,10,Non-Original,pg_13,2014,fall,Seinen
27833,tv,12,Non-Original,r,2016,winter,None
16662,movie,1,Non-Original,pg_13,2013,summer,None
1698,tv,23,Non-Original,pg_13,2007,winter,Josei
14075,tv,24,Non-Original,pg_13,2012,fall,Shounen
237,tv,50,original,pg_13,2005,spring,None
249,tv,167,Non-Original,pg_13,2000,fall,Shounen
28999,tv,13,original,pg_13,2015,summer,None
34636,tv,24,Non-Original,pg_13,2017,summer,Shounen
268,ova,6,Non-Original,r+,1995,fall,None
16706,tv,12,Non-Original,pg_13,2013,summer,Shounen
6811,tv,26,Non-Original,pg_13,2009,fall,Shounen
35120,ona,10,Non-Original,r+,2018,winter,None
801,tv,26,Non-Original,r,2004,winter,Seinen
36838,tv,12,Non-Original,pg_13,2018,winter,Shounen
21855,tv,5,Non-Original,r,2014,summer,None
5205,movie,1,Non-Original,r,2009,summer,None
72,tv,12,Non-Original,pg_13,2003,summer,None
37055,movie,1,Non-Original,r,2019,winter,None
38993,tv,12,Non-Original,pg_13,2019,summer,Shounen
27831,tv,12,Non-Original,r,2015,summer,None
31339,tv,12,Non-Original,r,2016,fall,Seinen
12115,movie,1,Non-Original,r+,2013,winter,Seinen
31658,movie,1,Non-Original,pg_13,2017,winter,Shounen
