,anime_id,studios
226,17265,['Satelight']
227,14713,['TMS Entertainment']
228,6114,['Madhouse']
229,6675,['Madhouse']
230,32615,['Nut']
231,36296,['feel.']
232,44,['Studio Deen']
233,35466,['TMS Entertainment']
234,37095,['Kyoto Animation']
235,35968,['A-1 Pictures']
236,269,['Pierrot']
237,48561,['MAPPA']
238,36946,['Toei Animation']
239,15335,['Sunrise']
240,36949,['J.C.Staff']
241,48661,['David Production']
242,48926,['OLM']
243,37675,['Madhouse']
244,7785,['Madhouse']
245,12531,"['Tezuka Productions', 'MAPPA']"
246,185,"['Gallop', 'Studio Comet']"
247,37171,['Lerche']
248,16782,['CoMix Wave Films']
249,25681,['TMS Entertainment']
250,5681,['Madhouse']
251,232,['Madhouse']
252,32995,['MAPPA']
253,585,['Studio Ghibli']
254,27775,['Doga Kobo']
255,2759,['Khara']
256,339,['Triangle Staff']
257,34822,['feel.']
258,19647,"['Madhouse', 'MAPPA']"
259,28025,['Shaft']
260,2034,['Toei Animation']
261,2418,['Bones']
262,4282,['ufotable']
263,1482,['TMS Entertainment']
264,35507,['Lerche']
265,39565,['Bones']
266,38668,['MAPPA']
267,3588,['Bones']
268,10800,['Madhouse']
269,170,['Toei Animation']
270,1943,['Madhouse']
271,22319,['Pierrot']
272,3002,['Madhouse']
273,39195,['Orange']
274,5300,"[""Brain's Base""]"
275,42923,['Bones']
276,8425,['Bones']
277,15689,['Shaft']
278,5680,['Kyoto Animation']
279,21939,['Artland']
280,3786,['Khara']
281,934,['Studio Deen']
282,25835,['P.A. Works']
283,41389,['Seven Arcs']
284,22145,['A-1 Pictures']
285,23289,['Doga Kobo']
286,37965,['Production I.G']
287,16067,['P.A. Works']
288,2890,['Studio Ghibli']
289,10379,"[""Brain's Base""]"
290,31478,['Bones']
291,57,['Madhouse']
292,9656,['Production I.G']
293,15809,['White Fox']
294,14397,['Madhouse']
295,23199,['Shuka']
296,34626,['Studio Deen']
297,849,['Kyoto Animation']
298,30346,['A-1 Pictures']
299,12859,['Toei Animation']
300,28297,['Madhouse']
301,759,['Madhouse']
