anime_id,studios
1559,TMS Entertainment
23755,A-1 Pictures
4059,Kyoto Animation
36999,Shaft
10080,Manglobe
35843,Bandai Namco Pictures
37491,Bandai Namco Pictures
17895,J.C.Staff
31988,Kyoto Animation
14741,Kyoto Animation
28675,Kyoto Animation
18153,Kyoto Animation
32998,Shuka
4901,Madhouse
11887,SILVER LINK.
50631,OLM
18397,Wit Studio
21557,Studio Ghibli
4722,Hal Film Maker
16870,Pierrot
11979,Shaft
7472,Sunrise
33489,Trigger
35608,Kyoto Animation
39792,Science SARU
39198,Lerche
39534,Lerche
40956,David Production
38249,J.C.Staff
31741,Lay-duce
35838,White Fox
32380,Studio Deen
16001,SILVER LINK.
38671,David Production
7711,Studio Ghibli
44074,Studio LAN
17549,SILVER LINK.
16918,A-1 Pictures
33161,feel.
16664,Studio Ghibli
3783,ufotable
186,Pastel
820,Kitty Film Mitaka Studio
10271,Madhouse
30123,Bones
40542,J.C.Staff
2581,Sunrise
21647,Kyoto Animation
32902,Wit Studio
2246,Toei Animation
4898,A-1 Pictures
33926,B.CMAY PICTURES
39940,J.C.Staff
486,A.C.G.T.
1818,Madhouse
66,J.C.Staff
32093,SILVER LINK.
38101,Tezuka Productions
11977,Shaft
48580,Bones
28907,A-1 Pictures
38474,C-Station
1887,Kyoto Animation
39468,Ajia-Do
40421,Lerche
38889,Platinum Vision
37989,Geno Studio
3901,Brain's Base
5630,Production I.G
38234,Toei Animation
73,Kyoto Animation
31637,A-1 Pictures
40935,Orange
552,Toei Animation
18689,Production I.G
416,Studio Ghibli
3702,Studio 4°C
40716,Ajia-Do
8129,Brain's Base
1530,Kyoto Animation
22043,A-1 Pictures
19363,A-1 Pictures
23623,SILVER LINK.
41402,Bandai Namco Pictures
23317,A-1 Pictures
40815,Ajia-Do
7338,Bones
35222,Brain's Base
6211,Bones
12477,Studio Rikka
34577,A-1 Pictures
24,Studio Comet
29095,8bit
23327,Bones
32983,Shuka
43325,Production I.G
12445,SILVER LINK.
21995,Production I.G
30709,TMS Entertainment
25879,A-1 Pictures
7724,Daume
31251,Sunrise
34451,Bones
18,A.C.G.T.
35860,Shin-Ei Animation
20057,Bones
35848,Trigger
31812,A-1 Pictures
5682,Bee Train
9863,Tatsunoko Production
43299,CloverWorks
861,Production I.G
46352,Seven Arcs
30240,J.C.Staff
14349,Trigger
6702,Satelight
36885,CloverWorks
14353,Madhouse
34944,Bones
28725,A-1 Pictures
8525,Manglobe
9289,P.A. Works
33095,Studio Deen
37208,B.CMAY PICTURES
37435,Bones
34437,Sunrise
31859,A-1 Pictures
39196,Bandai Namco Pictures
154,Xebec
6351,Kyoto Animation
49114,Bones
38481,J.C.Staff
138,Nippon Animation
34591,Shuka
18897,Shaft
30727,A-1 Pictures
264,Madhouse
28927,Wit Studio
3927,Sunrise
139,Nippon Animation
21329,Artland
329,Sunrise
1689,CoMix Wave Films
10521,A-1 Pictures
1033,Madhouse
37786,TROYCA
40262,Production I.G
36028,Geno Studio
120,Studio Deen
15039,A-1 Pictures
30230,Production I.G
6213,J.C.Staff
30885,Bones
38084,CloverWorks
6033,Toei Animation
18179,TMS Entertainment
40046,NAZ
28121,J.C.Staff
40059,Geno Studio
18195,J.C.Staff
4107,Gainax
12113,Studio 4°C
10721,Brain's Base
12413,White Fox
8516,SILVER LINK.
29093,8bit
33051,Sunrise
32729,Telecom Animation Film
2605,Shaft
34542,MAPPA
15227,MAPPA
20767,Bones
24439,Bones
39486,Bandai Namco Pictures
36106,Wit Studio
8795,Gainax
3782,ufotable
5690,J.C.Staff
49721,Shin-Ei Animation
4280,ufotable
31490,Toei Animation
36474,A-1 Pictures
1827,Production I.G
4477,J.C.Staff
36896,Bones
387,Radix
40729,TMS Entertainment
19111,Sunrise
137,Nippon Animation
39597,A-1 Pictures
22961,Production IMS
2924,Shaft
202,Bones
239,Gonzo
530,Toei Animation
846,Studio Comet
40221,Telecom Animation Film
31765,A-1 Pictures
28677,LIDENFILMS
38080,Platinum Vision
34902,Studio Gokumi
13331,White Fox
31704,Madhouse
597,Studio Ghibli
21405,Brain's Base
37379,Madhouse
16,J.C.Staff
43523,C2C
6956,A-1 Pictures
13667,Pierrot
9919,A-1 Pictures
20159,Production I.G
3091,Production I.G
3785,Khara
372,Madhouse
1430,Tokyo Movie Shinsha
40397,Doga Kobo
24277,TMS Entertainment
23321,Studio Deen
31772,Madhouse
33502,Satelight
3167,Studio Rikka
317,Square Enix
22265,Kyoto Animation
21877,J.C.Staff
71,Gonzo
187,Studio Deen
18671,Kyoto Animation
32542,Studio Deen
12431,A-1 Pictures
38349,A-1 Pictures
265,Madhouse
5530,Xebec
39575,Satelight
226,Arms
10049,Studio Deen
11111,P.A. Works
37141,David Production
15,Gallop
28957,Artland
10012,Lerche
17389,Pierrot
24765,Lerche
28249,SANZIGEN
6421,Bones
30370,Pierrot
22199,White Fox
10218,Studio 4°C
8408,Brain's Base
15059,SynergySP
6007,Brain's Base
12403,Doga Kobo
2952,Square Enix
26243,Wit Studio
440,J.C.Staff
31764,Madhouse
5941,SynergySP
40174,MAPPA
543,Madhouse
2104,Gonzo
10029,Studio Ghibli
721,Hal Film Maker
6347,SILVER LINK.
21843,MAPPA
9941,Sunrise
11123,Studio Deen
34134,J.C.Staff
210,Studio Deen
49909,LIDENFILMS
14227,Brain's Base
6862,Kyoto Animation
15451,TNK
323,Madhouse
39570,J.C.Staff
322,Madhouse
21339,Production I.G
34914,Doga Kobo
24687,Artland
528,OLM
31715,A-1 Pictures
36038,Signal.MD
1142,J.C.Staff
35363,Kyoto Animation
41433,Pierrot
44931,Seven Arcs
8675,GoHands
37078,Tencent Animation & Comics
4789,Shaft
135,Pierrot
150,Production I.G
22,Trans Arts
31953,Doga Kobo
44055,Studio Deen
38790,SILVER LINK.
18617,Actas
8937,J.C.Staff
1571,J.C.Staff
4106,Madhouse
10620,asread.
2593,ufotable
24997,Sunrise
10161,Bones
18661,TMS Entertainment
627,Studio Hibari
20847,GoHands
4814,Studio Deen
33988,A-1 Pictures
35972,A-1 Pictures
30296,SILVER LINK.
33253,Polygon Pictures
270,Gonzo
38659,White Fox
31174,Pierrot
19489,Trigger
2685,Production I.G
12031,Pierrot
532,Toei Animation
1254,Toei Animation
17729,8bit
42351,Doga Kobo
40730,Haoliners Animation League
18753,Brain's Base
38450,B.CMAY PICTURES
32366,Bandai Namco Pictures
1365,TMS Entertainment
468,Production I.G
9926,Studio Deen
2787,J.C.Staff
93,Sunrise
22147,Kyoto Animation
21659,Trigger
40615,Studio Hibari
47194,OLM
22101,Pierrot
13535,Sunrise
5231,OLM
10793,Production I.G
23277,A-1 Pictures
5028,SynergySP
31051,Production I.G
34561,TROYCA
16904,GoHands
20785,Madhouse
1594,Studio Deen
5678,Madhouse
3572,Satelight
32268,Shaft
35677,Kyoto Animation
9062,P.A. Works
228,Studio Deen
430,Bones
10495,Doga Kobo
30279,TYO Animations
4472,Kyoto Animation
37349,White Fox
34537,Science SARU
8142,Sunrise
31098,MAPPA
24703,TNK
7465,Studio Rikka
39808,SILVER LINK.
558,Studio Hibari
20031,Brain's Base
27991,GoHands
11737,A-1 Pictures
37976,MAPPA
15315,Diomedéa
7647,Shaft
5781,AIC Spirits
14467,GoHands
6171,TMS Entertainment
12893,Sunrise
10790,Studio Deen
5365,Oh! Production
27663,Pierrot
1842,Studio Hibari
21185,Pierrot
874,Toei Animation
30694,Toei Animation
6336,Sunrise
40540,A-1 Pictures
1566,Production I.G
41120,CloverWorks
9734,Kyoto Animation
19775,Polygon Pictures
38145,Zero-G
41587,Bones
36904,Fanworks
22777,Toei Animation
24405,Toei Animation
40571,C2C
50612,TMS Entertainment
355,J.C.Staff
267,Madhouse
48849,Madhouse
3228,Shaft
12029,Xebec
97,Gonzo
40010,Passione
9074,Shaft
7592,Studio Deen
14807,ufotable
1562,Nippon Animation
3470,Gonzo
481,Gallop
37515,Kinema Citrus
38731,Madhouse
36286,White Fox
2994,Madhouse
14289,Zexcs
40907,Toei Animation
90,Sunrise
18245,Satelight
43439,CloverWorks
570,Production I.G
38555,SILVER LINK.
8247,Pierrot
3701,Madhouse
996,Toei Animation
60,Gonzo
7655,SynergySP
37956,Hoods Entertainment
400,Sunrise
857,Toei Animation
38414,White Fox
731,Toei Animation
3226,SynergySP
40454,J.C.Staff
21327,Brain's Base
1840,J.C.Staff
740,Toei Animation
33731,Doga Kobo
1281,Pierrot
9130,TMS Entertainment
41488,8bit
32370,TMS Entertainment
11319,J.C.Staff
18119,A-1 Pictures
114,Production I.G
20651,Brain's Base
3092,Studio Deen
36470,Doga Kobo
37985,Fanworks
8086,Zexcs
10119,GoHands
4087,Manglobe
31592,OLM
28755,Pierrot
153,Pierrot
15117,Manglobe
2164,Madhouse
16011,8bit
25517,A-1 Pictures
6573,Bones
11617,TNK
27633,Doga Kobo
401,Studio Deen
14131,Actas
25015,Kyoto Animation
23281,Tatsunoko Production
22097,Lay-duce
32828,TMS Entertainment
35240,Actas
8407,AIC ASTA
6945,Sunrise
122,Studio Deen
31580,Polygon Pictures
40496,SILVER LINK.
50360,Studio Bind
3297,Hal Film Maker
4725,AIC Spirits
33071,Bones
25161,Toei Animation
31798,Trigger
8740,Toei Animation
17909,P.A. Works
985,Toei Animation
42429,Ajia-Do
25303,Production I.G
16524,Production I.G
38422,J.C.Staff
81,Sunrise
48483,Passione
37984,Millepensee
59,Madhouse
16916,Production I.G
13663,Xebec
29854,MAPPA
22729,A-1 Pictures
15323,Toei Animation
29787,Kinema Citrus
949,Gainax
4654,J.C.Staff
25183,Manglobe
1364,TMS Entertainment
24893,Polygon Pictures
27787,Shaft
42361,Telecom Animation Film
2154,Studio 4°C
43609,A-1 Pictures
12291,AIC
10357,AIC ASTA
4835,Pierrot
967,Toei Animation
44087,Bandai Namco Pictures
33506,A-1 Pictures
36990,SILVER LINK.
40682,Pierrot
527,OLM
33191,David Production
15051,Sunrise
37033,ufotable
37514,Kinema Citrus
37497,P.A. Works
44940,Toei Animation
40620,Studio Blanc
42916,A-1 Pictures
6372,Production I.G
18139,Shin-Ei Animation
26213,Kyoto Animation
781,TMS Entertainment
534,E&G Films
451,Sunrise
11013,David Production
2963,Daume
37475,LIDENFILMS
658,Madhouse
10588,AIC ASTA
16934,Kyoto Animation
11433,J.C.Staff
6773,J.C.Staff
5460,Tokyo Movie Shinsha
34100,SILVER LINK.
8841,Studio Deen
47257,J.C.Staff
11739,J.C.Staff
40215,Fanworks
4672,Production I.G
18507,Kyoto Animation
10067,P.A. Works
11113,Production I.G
535,E&G Films
32979,Studio 3Hz
7193,Madhouse
80,Sunrise
6864,Production I.G
905,Toei Animation
1686,Pierrot
26,Madhouse
240,Palm Studio
6637,Production I.G
182,Sunrise
38472,Studio PuYUKAI
145,Gainax
47790,SILVER LINK.
36704,Kyoto Animation
33337,Madhouse
41461,GEEK TOYS
28,Sunrise
3731,TMS Entertainment
1363,TMS Entertainment
35079,Lerche
34984,Wit Studio
21469,Shirogumi
37932,Colored Pencil Animation
37972,8bit
42625,MAPPA
31,Gainax
338,Tokyo Movie Shinsha
2026,SynergySP
1699,Gonzo
177,Bee Train
48553,CloverWorks
1257,Toei Animation
2159,A-1 Pictures
31376,J.C.Staff
33028,Lerche
38594,Science SARU
51096,Lerche
19123,Toei Animation
10460,J.C.Staff
10589,Pierrot
32673,LIDENFILMS
39555,TMS Entertainment
24151,Production I.G
42250,Bones
4918,Production I.G
464,Toei Animation
779,TMS Entertainment
28979,Xebec
9760,CoMix Wave Films
2889,Pierrot
14345,Madhouse
30347,A-1 Pictures
12883,A-1 Pictures
6467,Tokyo Movie Shinsha
34544,Wit Studio
10937,Sunrise
6377,Shaft
23777,Wit Studio
4192,J.C.Staff
2397,Toei Animation
38409,AHA Entertainment
30415,Kyoto Animation
19703,Toei Animation
30778,A-1 Pictures
13655,J.C.Staff
23251,TMS Entertainment
38816,Graphinica
20541,Doga Kobo
3712,J.C.Staff
9471,SILVER LINK.
1023,Bones
25649,Studio Deen
856,OLM
962,Hal Film Maker
45055,SynergySP
23385,Kyoto Animation
2961,Toei Animation
40908,Ajia-Do
4182,Bones
1367,TMS Entertainment
8246,Pierrot
4177,Bones
38793,8bit
5204,ufotable
450,Sunrise
33323,TMS Entertainment
10568,J.C.Staff
32491,LIDENFILMS
617,Madhouse
40904,feel.
16417,Kyoto Animation
20431,Wit Studio
8063,Studio Deen
67,Gonzo
780,TMS Entertainment
479,Studio Deen
15771,A-1 Pictures
77,Seven Arcs
356,Studio Deen
40060,Trigger
9790,AIC ASTA
1088,Tatsunoko Production
35382,MAPPA
2508,Arms
31149,A-1 Pictures
31553,P.A. Works
23225,TYO Animations
885,Studio Deen
1506,TMS Entertainment
11933,Madhouse
41168,Studio Colorido
40269,Larx Entertainment
2951,Sunrise
427,Gonzo
39071,J.C.Staff
42940,TMS Entertainment
793,Production I.G
14967,AIC Build
35806,Production I.G
21273,White Fox
29755,Production I.G
32681,Trigger
1292,Gonzo
6586,Studio Hibari
957,Madhouse
37614,C2C
34618,A-1 Pictures
12069,Madhouse
371,Madhouse
65,Nomad
38483,Connect
35111,Production I.G
34933,MAPPA
34440,Sunrise
34438,Sunrise
35110,Production I.G
9982,Satelight
14837,Toei Animation
23775,Wit Studio
433,CoMix Wave Films
34103,Lerche
13851,Xebec
85,Sunrise
1239,Toei Animation
40902,J.C.Staff
11499,Studio Deen
36538,Shuka
477,Hal Film Maker
30364,Production I.G
16762,asread.
44200,Bones
9465,Production I.G
40938,Project No.9
28497,Passione
36220,Lay-duce
39175,Signal.MD
14175,P.A. Works
31821,LIDENFILMS
969,Bee Train
10083,Daume
74,Group TAC
38619,Passione
1690,Gonzo
38753,Lay-duce
36214,Zexcs
40004,Silver
11553,J.C.Staff
36653,Kyoto Animation
40056,Nut
9252,Production I.G
41694,LIDENFILMS
42670,CygamesPictures
40936,Connect
10278,A-1 Pictures
37348,J.C.Staff
82,Sunrise
49930,J.C.Staff
38759,Doga Kobo
34480,J.C.Staff
32900,8bit
123,Pierrot
35849,A-1 Pictures
28623,Wit Studio
11633,Brain's Base
986,Toei Animation
1486,Gallop
32105,Pierrot
132,Studio Deen
49053,Lerche
34076,P.A. Works
9724,Production I.G
2273,Sunrise
5507,A-1 Pictures
5177,Brain's Base
39988,Studio PuYUKAI
1462,Madhouse
1195,J.C.Staff
50346,LIDENFILMS
8426,AIC Classic
5420,Production I.G
38992,Zero-G
20371,Studio Deen
39651,Bones
32977,Fanworks
9963,TMS Entertainment
2402,Mushi Production
38186,Silver
3652,Studio Deen
29786,J.C.Staff
26123,GoHands
19319,Sunrise
49052,Production I.G
34973,Sunrise
32648,Diomedéa
11917,SynergySP
14407,AIC ASTA
6922,Studio Deen
1606,Sunrise
2923,Satelight
8514,Production I.G
26349,Seven
47159,Yokohama Animation Lab
64,Nomad
50325,A-1 Pictures
452,Sunrise
40858,Production I.G
5958,AIC ASTA
6772,Production I.G
16592,Lerche
30736,MAPPA
6444,Pierrot Plus
12049,Satelight
30187,TROYCA
1015,Kyoto Animation
39491,Production I.G
2921,Tokyo Movie Shinsha
44807,Studio Chizu
250,Toei Animation
40392,Ezόla
33354,Madhouse
36275,Shuka
40434,B.CMAY PICTURES
34534,Shuka
11813,Brain's Base
11757,A-1 Pictures
11759,Sunrise
8557,Diomedéa
2471,Shin-Ei Animation
48643,Project No.9
10020,AIC Build
31483,Bones
15197,Sunrise
32005,TMS Entertainment
42590,Shin-Ei Animation
37007,Gonzo
251,Studio Deen
68,Gonzo
30016,Satelight
37347,J.C.Staff
6793,A-1 Pictures
9181,Xebec
31706,SILVER LINK.
4872,Shaft
8676,AIC
21419,TMS Entertainment
6802,A-1 Pictures
34281,Passione
49520,Felix Film
34012,SILVER LINK.
9366,J.C.Staff
21473,A-1 Pictures
462,Toei Animation
13469,Kyoto Animation
42984,Bones
34443,TMS Entertainment
31973,Sunrise
1719,Nomad
31711,Xebec
33263,Shaft
38656,Nexus
531,Toei Animation
10110,feel.
517,Studio Comet
3972,Gallop
34414,Satelight
8310,TMS Entertainment
1172,E&G Films
11235,AIC
44070,Haoliners Animation League
3713,Studio Deen
4163,Gonzo
1366,TMS Entertainment
