anime_id,score,scored_by,members,favorites
1604,High,247977,522968,15450
34798,High,185699,422367,9436
25537,High,215752,395181,2365
6045,High,402203,817985,11690
4081,High,171059,487471,14448
17265,High,539564,1028150,9957
14713,High,298722,576283,12970
6114,High,145230,362005,8004
6675,High,180957,331373,4911
32615,High,436981,794325,10768
36296,High,226454,453473,4076
44,High,130103,259050,5961
35466,High,201649,336293,1582
37095,High,167225,280592,753
35968,High,448300,834458,10043
269,High,980721,1680584,60837
48561,High,137493,439973,6902
36946,High,226802,325107,2390
15335,High,122153,212854,2013
36949,High,386210,643927,1387
48661,High,155921,352106,6465
48926,High,341930,675324,10852
37675,High,475837,761313,4974
7785,High,129643,396956,16621
12531,High,158292,348758,6610
185,High,159824,314581,9731
37171,High,194770,408488,5594
16782,High,466922,767150,6436
25681,High,188115,346038,2439
5681,High,277961,485735,3747
232,High,202711,397722,11898
32995,High,481975,796011,19383
585,High,173211,305502,4089
27775,High,427332,844444,10879
2759,High,304817,495607,1686
339,High,251028,649006,22495
34822,High,227898,481669,7327
19647,High,122219,218894,1061
28025,High,219094,386075,946
2034,High,267628,531250,9130
2418,High,153043,306117,2807
4282,High,122767,220739,4328
1482,High,272512,645973,13213
35507,High,607383,960495,14391
39565,High,278842,476821,1682
38668,High,227968,449728,6994
3588,High,781758,1480417,24382
10800,High,169065,419437,7336
170,High,120144,259435,6301
1943,High,235801,466591,3864
22319,High,1686035,2522338,46901
3002,High,145126,316836,9166
39195,High,463944,742623,9004
5300,High,116038,228632,1371
42923,High,229772,455955,11277
8425,High,214484,498023,7726
15689,High,314533,510144,1153
5680,High,526590,958645,22035
21939,High,107937,272467,1436
3786,High,109647,300640,5824
934,High,366704,742896,19936
25835,High,133520,412037,6117
41389,High,341972,599685,8932
22145,High,195075,365998,3383
23289,High,468673,848645,10382
37965,High,121763,265023,5444
16067,High,239470,559776,9231
2890,High,329327,494262,3228
10379,High,108769,231723,1322
31478,High,592427,1164216,22420
57,High,130784,307353,7730
9656,High,239106,411148,1427
15809,High,863613,1392935,10799
14397,High,119650,216086,1563
23199,High,234899,449248,949
34626,High,198646,324770,686
849,High,450233,852238,14594
30346,High,125921,233818,5458
12859,High,152152,237581,525
28297,High,291746,603372,4599
759,High,126993,254316,2173
11665,High,100032,224705,1888
27821,High,183070,293423,429
16049,High,189249,356499,3631
32188,High,128541,230633,367
24701,High,95350,239348,1303
27833,High,173515,350875,1068
16662,High,161372,282410,2688
1698,High,123354,294960,4835
14075,High,248571,557489,6370
237,High,175420,413508,8832
249,High,359227,720008,16820
28999,High,879761,1427552,20937
34636,High,133307,294736,3213
268,High,182403,329677,4813
16706,High,182112,318940,1976
