,anime_id,keywords
90,33,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural', 'Gore', 'Military', 'Mythology']"
91,11577,"['Drama', 'Sci-Fi']"
92,42897,"['Romance', 'School']"
93,28223,"['Drama', 'Supernatural', 'Suspense', 'Adult Cast', 'High Stakes Game', 'Psychological']"
94,34612,"['Comedy', 'Supernatural', 'Gag Humor', 'School']"
95,24415,"['Sports', 'School', 'Team Sports']"
96,2251,"['Action', 'Comedy', 'Mystery', 'Supernatural', 'Historical', 'Organized Crime']"
97,457,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural', 'Adult Cast', 'Historical', 'Iyashikei']"
98,30503,"['Action', 'Fantasy', 'Mythology']"
99,10408,"['Drama', 'Romance', 'Supernatural']"
100,37520,"['Action', 'Adventure', 'Supernatural', 'Historical', 'Mythology', 'Samurai']"
101,263,"['Sports', 'Combat Sports']"
102,31758,"['Action', 'Mystery', 'Supernatural', 'Vampire']"
103,28977,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']"
104,30831,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation']"
105,39547,"['Comedy', 'Romance', 'Love Polygon', 'School']"
106,16894,"['Sports', 'School', 'Team Sports']"
107,392,"['Action', 'Comedy', 'Supernatural', 'Martial Arts', 'Mythology']"
108,22297,"['Action', 'Fantasy', 'Supernatural']"
109,19815,"['Comedy', 'Ecchi', 'Fantasy', 'Isekai', 'Strategy Game']"
110,813,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Super Power']"
111,9969,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']"
112,4224,"['Drama', 'Romance', 'Love Polygon', 'School']"
113,22789,"['Slice of Life', 'Childcare', 'Iyashikei', 'Visual Arts']"
114,853,"['Comedy', 'Romance', 'Crossdressing', 'Reverse Harem', 'School']"
115,31757,"['Action', 'Mystery', 'Supernatural', 'Vampire']"
116,121,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military']"
117,37430,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Mythology', 'Reincarnation']"
118,24833,"['Action', 'Comedy', 'School']"
119,18115,"['Action', 'Adventure', 'Fantasy']"
120,36456,"['Action', 'School', 'Super Power']"
121,33674,"['Drama', 'Fantasy', 'Romance', 'Isekai']"
122,34572,"['Action', 'Comedy', 'Fantasy']"
123,25781,['Action']
124,40834,"['Adventure', 'Fantasy']"
125,11843,"['Comedy', 'Gag Humor', 'School']"
126,41487,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Mythology', 'Reincarnation']"
127,6547,"['Drama', 'Supernatural', 'School']"
128,41025,"['Adventure', 'Drama', 'Supernatural']"
129,6746,"['Action', 'Mystery', 'Supernatural']"
130,40852,"['Adventure', 'Comedy', 'Sci-Fi', 'Survival', 'Time Travel']"
131,32867,"['Action', 'Mystery', 'Supernatural', 'Super Power']"
132,20899,"['Action', 'Adventure', 'Drama', 'Supernatural']"
133,37987,"['Drama', 'Fantasy', 'Slice of Life']"
134,32282,"['Ecchi', 'Gourmet', 'School']"
135,1210,"['Comedy', 'Drama', 'Romance', 'Otaku Culture', 'Psychological']"
136,13759,"['Drama', 'Romance', 'School', 'Visual Arts']"
137,136,"['Action', 'Adventure', 'Fantasy']"
138,49926,"['Action', 'Fantasy', 'Historical']"
139,2966,"['Adventure', 'Fantasy', 'Romance', 'Adult Cast', 'Historical']"
140,47,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Supernatural', 'Gore', 'Military']"
141,31646,"['Drama', 'Slice of Life', 'Childcare', 'Iyashikei', 'Strategy Game']"
142,3784,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Psychological']"
143,35180,"['Drama', 'Slice of Life', 'Childcare', 'Iyashikei', 'Strategy Game']"
144,9260,['Vampire']
145,40417,"['Drama', 'Romance', 'Supernatural']"
146,42938,"['Drama', 'Romance', 'Supernatural']"
147,877,"['Drama', 'Romance', 'Slice of Life', 'Adult Cast', 'Love Polygon', 'Music']"
148,39533,"['Boys Love', 'Drama', 'Romance', 'Slice of Life', 'Music']"
149,43,"['Action', 'Sci-Fi', 'Adult Cast', 'Detective', 'Mecha', 'Psychological']"
