,anime_id,producers
55,33255,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Pony Canyon', 'Nippon Columbia', 'KlockWorx', 'Asmik Ace', 'Bandai Namco Entertainment', 'Shueisha', ""Toy's Factory"", 'Dear Stage inc.']"
56,245,"['Aniplex', 'Fuji TV']"
57,5081,"['Aniplex', 'Kodansha']"
58,31240,"['TV Tokyo', 'Media Factory', 'Kadokawa Shoten', 'AT-X', 'Magic Capsule', 'Memory-Tech', 'Hakuhodo DY Music & Pictures']"
59,38329,"['Aniplex', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation', 'Kadokawa']"
60,1735,"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']"
61,38691,"['TOHO animation', 'Shueisha', '8PAN']"
62,39535,"['Frontier Works', 'TOHO animation', 'Hakuhodo DY Music & Pictures', 'BS11', 'Egg Firm', 'Kadokawa', 'GREE', 'Toho Music']"
63,37450,"['Aniplex', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Nagoya Broadcasting Network', 'BS11', 'ABC Animation', 'Kadokawa']"
64,32937,"['Kadokawa Shoten', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House']"
65,17074,"['Aniplex', 'Kodansha', 'Cyclone Graphics']"
66,39587,"['AT-X', 'Memory-Tech', 'Hakuhodo DY Music & Pictures', 'Kadokawa Media House', 'Kadokawa']"
67,40776,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']"
68,19,"['VAP', 'Shogakukan-Shueisha Productions', 'Nippon Television Network']"
69,10087,"['Aniplex', 'Nitroplus', 'Seikaisha', 'Notes']"
70,42203,"['AT-X', 'Memory-Tech', 'Hakuhodo DY Music & Pictures', 'Kadokawa Media House', 'Kadokawa']"
71,38040,[]
72,43608,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']"
73,30484,"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic']"
74,38883,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']"
75,39551,['Kodansha']
76,28701,"['Aniplex', 'Notes']"
77,777,"['Geneon Universal Entertainment', 'StudioRF Inc.', 'Shounen Gahousha']"
78,578,[]
79,523,"['Studio Fantasia', 'Streamline Pictures']"
80,38826,"['Toho', 'Lawson HMV Entertainment', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting', 'STORY', 'Lawson Entertainment']"
81,33486,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']"
82,48736,"['Aniplex', 'Square Enix', 'Movic', 'Studio Mausu', 'Tokyo MX']"
83,7311,"['Kadokawa Shoten', 'Animation Do']"
84,37105,"['Mainichi Broadcasting System', 'Kodansha', 'NBCUniversal Entertainment Japan', 'Avex Pictures', 'Q-Tec', 'JR East Marketing & Communications', 'GYAO!']"
85,437,['Rex Entertainment']
86,28171,"['Dentsu', 'Frontier Works', 'Mainichi Broadcasting System', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Shueisha', 'I Will']"
87,36649,"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Shogakukan']"
88,10165,"['Lantis', 'Kadokawa Shoten', 'Movic', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Animation Do']"
89,23847,"['TBS', 'Marvelous AQL', 'NBCUniversal Entertainment Japan']"
90,33,"['VAP', 'Hakusensha', 'Nippon Television Network']"
91,11577,"['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'MAGES.']"
92,42897,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'Kanetsu Investment', 'My Theater D.D.', 'Global Solutions', 'Mirai-Kojo']"
93,28223,"['VAP', 'DAX Production', 'Nippon Television Network']"
94,34612,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Nippon Columbia', 'KlockWorx', 'Asmik Ace', 'Bandai Namco Entertainment', 'Shueisha', ""Toy's Factory"", 'Dear Stage inc.']"
95,24415,"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Banpresto', 'Shueisha', 'BS11']"
96,2251,"['Aniplex', 'Sakura Create', 'Happinet Pictures']"
97,457,"['Avex Entertainment', 'Marvelous', 'SKY Perfect Well Think', 'Delfi Sound']"
98,30503,"['Dentsu', 'Shochiku', 'Kodansha', 'Ai Addiction', 'Avex Pictures', 'A-Sketch']"
99,10408,"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Hakusensha', 'DAX Production']"
100,37520,['Twin Engine']
101,263,['VAP']
102,31758,"['Aniplex', 'Kodansha']"
103,28977,"['TV Tokyo', 'Aniplex', 'Dentsu']"
104,30831,"['Half H.P Studio', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House']"
105,39547,"['Marvelous', 'TBS', 'Movic', 'Delfi Sound', 'NBCUniversal Entertainment Japan']"
106,16894,"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Banpresto', 'Shueisha', 'BS11']"
107,392,"['Yomiko Advertising', 'Fuji TV']"
108,22297,"['Aniplex', 'Notes']"
109,19815,"['Frontier Works', 'Media Factory', 'Movic', 'AT-X']"
110,813,['Fuji TV']
111,9969,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Studio Jack', 'Shueisha']"
112,4224,"['Genco', 'Starchild Records', 'Magic Capsule', 'Yomiuri Advertising', 'TV Tokyo Music']"
113,22789,"['VAP', 'Nippon Television Network']"
114,853,"['VAP', 'Hakusensha', 'Nippon Television Network']"
115,31757,"['Aniplex', 'Kodansha']"
116,121,"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System']"
117,37430,"['Lantis', 'Kodansha', 'BS11', 'Bandai Namco Arts', 'Micro Magazine Publishing']"
118,24833,"['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'BS Fuji', 'Avex Pictures', 'Shueisha']"
119,18115,"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Mainichi Broadcasting System', 'Movic', 'GYAO!']"
120,36456,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']"
121,33674,"['Frontier Works', 'Movic', 'AT-X', 'Kadokawa']"
122,34572,"['TV Tokyo', 'Avex Pictures', 'Shueisha']"
123,25781,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha']"
124,40834,"['Aniplex', 'Dentsu', 'Fuji TV', 'Kadokawa']"
125,11843,"['TV Tokyo', 'Square Enix', 'Trinity Sound', 'Happinet Pictures']"
126,41487,"['Kodansha', 'BS11', 'Bandai Namco Arts', 'Micro Magazine Publishing', 'Bandai Spirits', 'Sony Music Solutions', 'ADK Marketing Solutions']"
127,6547,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'CBC Television', 'Movic', 'Visual Arts', 'ASCII Media Works']"
128,41025,"['NHK', 'NHK Enterprises']"
129,6746,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'ASCII Media Works', 'Sakura Create']"
130,40852,"['TOHO animation', 'Shueisha', 'Toho Music', '8PAN']"
131,32867,"['Lantis', 'Movic', 'KlockWorx', 'Bandai Namco Live Creative', 'Glovision', 'Lawson HMV Entertainment', 'Sony PCL']"
132,20899,"['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha']"
133,37987,['Shochiku']
134,32282,"['Dentsu', 'Lantis', 'Mainichi Broadcasting System', 'KlockWorx', 'Showgate', 'Shueisha']"
135,1210,"['NHK', 'Victor Entertainment']"
136,13759,"['Frontier Works', 'Genco', 'Media Factory', 'Animax', 'Mainichi Broadcasting System', 'ASCII Media Works', 'Sony Music Communications']"
137,136,['Fuji TV']
138,49926,"['Aniplex', 'Shueisha']"
139,2966,"['Victor Entertainment', 'Pony Canyon', 'Movic', 'Kadokawa Pictures Japan']"
140,47,"['Mainichi Broadcasting System', 'Kodansha', 'Toho', 'Streamline Pictures']"
