,anime_id,licensors
199,2025,['Funimation']
200,6594,"['NIS America, Inc.']"
201,14513,['Aniplex of America']
202,38408,['Funimation']
203,889,"['Funimation', 'Geneon Entertainment USA']"
204,33050,['Aniplex of America']
205,28805,['Funimation']
206,5258,[]
207,30015,"['Funimation', 'Crunchyroll']"
208,35557,['Sentai Filmworks']
209,223,"['Funimation', 'Harmony Gold']"
210,227,"['Funimation', 'Synch-Point']"
211,9617,['Sentai Filmworks']
212,14719,"['VIZ Media', 'Warner Bros. Pictures']"
213,29803,['Funimation']
214,1889,['Sentai Filmworks']
215,25013,['Funimation']
216,35062,['Funimation']
217,35851,['Eleven Arts']
218,467,"['Bandai Entertainment', 'Manga Entertainment']"
219,40787,['Funimation']
220,34096,[]
221,1604,"['VIZ Media', 'Discotek Media']"
222,34798,[]
223,25537,['Aniplex of America']
224,6045,"['NIS America, Inc.']"
225,4081,"['NIS America, Inc.']"
226,17265,"['Funimation', 'Sentai Filmworks']"
227,14713,['Funimation']
228,6114,['Funimation']
229,6675,['Anchor Bay Films']
230,32615,"['Funimation', 'Crunchyroll']"
231,36296,['Funimation']
232,44,"['ADV Films', 'Aniplex of America']"
233,35466,['Funimation']
234,37095,[]
235,35968,[]
236,269,['VIZ Media']
237,48561,['Crunchyroll']
238,36946,['Funimation']
239,15335,[]
240,36949,['Sentai Filmworks']
241,48661,[]
242,48926,[]
243,37675,['Funimation']
244,7785,['Funimation']
245,12531,['Sentai Filmworks']
246,185,"['Funimation', 'Tokyopop']"
247,37171,[]
248,16782,['Sentai Filmworks']
249,25681,['Funimation']
250,5681,"['Funimation', 'Warner Bros. Japan', 'GKIDS']"
251,232,"['Nelvana', 'NIS America, Inc.', 'Geneon Entertainment USA']"
252,32995,"['Funimation', 'Crunchyroll']"
253,585,"['Disney Platform Distribution', 'GKIDS']"
254,27775,['Aniplex of America']
255,2759,['Funimation']
256,339,"['Funimation', 'Geneon Entertainment USA']"
257,34822,"['Funimation', 'Crunchyroll']"
258,19647,[]
259,28025,['Aniplex of America']
260,2034,['Discotek Media']
261,2418,"['Funimation', 'Bandai Entertainment']"
262,4282,['Aniplex of America']
263,1482,['Funimation']
264,35507,['Funimation']
265,39565,['Funimation']
266,38668,['Netflix']
267,3588,['Funimation']
268,10800,['Sentai Filmworks']
269,170,"['Flatiron Film Company', 'Geneon Entertainment USA']"
270,1943,[]
271,22319,['Funimation']
272,3002,['Sentai Filmworks']
273,39195,[]
274,5300,"['NIS America, Inc.']"
275,42923,['Aniplex of America']
276,8425,['Funimation']
277,15689,['Aniplex of America']
278,5680,"['Bandai Entertainment', 'Sentai Filmworks']"
279,21939,['Aniplex of America']
280,3786,[]
281,934,"['Sentai Filmworks', 'Geneon Entertainment USA']"
282,25835,['Sentai Filmworks']
283,41389,['Crunchyroll']
284,22145,['Funimation']
285,23289,['Sentai Filmworks']
286,37965,['Sentai Filmworks']
287,16067,"['NIS America, Inc.']"
288,2890,"['Disney Platform Distribution', 'GKIDS']"
289,10379,"['NIS America, Inc.']"
290,31478,"['Funimation', 'Crunchyroll']"
291,57,['Funimation']
292,9656,"['NIS America, Inc.']"
293,15809,['Funimation']
294,14397,['Sentai Filmworks']
295,23199,['Aniplex of America']
296,34626,['Discotek Media']
297,849,"['Funimation', 'Bandai Entertainment', 'Kadokawa Pictures USA']"
298,30346,['Aniplex of America']
299,12859,['Funimation']
300,28297,['Sentai Filmworks']
301,759,"['Sony Pictures Entertainment', 'GKIDS']"
302,11665,"['NIS America, Inc.']"
303,27821,['Aniplex of America']
304,16049,['Funimation']
305,32188,[]
306,24701,['Aniplex of America']
307,27833,['Aniplex of America']
308,16662,['Disney Platform Distribution']
309,1698,[]
310,14075,['Aniplex of America']
311,237,"['Funimation', 'Bandai Entertainment']"
312,249,['VIZ Media']
313,28999,['Aniplex of America']
314,34636,['Ponycan USA']
315,268,"['ADV Films', 'Media Blasters', 'Discotek Media']"
316,16706,['Sentai Filmworks']
317,6811,['VIZ Media']
318,35120,[]
319,801,"['Bandai Entertainment', 'Manga Entertainment']"
320,36838,[]
321,21855,['Aniplex of America']
322,5205,['Aniplex of America']
323,72,"['ADV Films', 'Funimation']"
324,37055,[]
325,38993,[]
326,27831,['Aniplex of America']
327,31339,['Funimation']
328,12115,"['VIZ Media', 'NYAV Post']"
329,31658,[]
330,40911,['Funimation']
331,35073,['Funimation']
332,4565,['Aniplex of America']
333,5040,[]
334,36563,['VIZ Media']
335,27989,['Ponycan USA']
336,31173,['Funimation']
337,9513,['Discotek Media']
338,790,"['Funimation', 'Geneon Entertainment USA']"
339,4155,['Funimation']
340,28735,[]
341,1559,"['Funimation', 'Discotek Media']"
342,23755,['Funimation']
343,4059,['Sentai Filmworks']
344,36999,['Aniplex of America']
345,10080,['Sentai Filmworks']
346,35843,[]
347,37491,[]
348,17895,['Sentai Filmworks']
349,31988,['Ponycan USA']
350,14741,['Sentai Filmworks']
351,28675,['Sentai Filmworks']
352,18153,['Sentai Filmworks']
353,32998,"['Funimation', 'Crunchyroll']"
354,4901,['Funimation']
355,11887,['Sentai Filmworks']
356,50631,[]
357,18397,['Funimation']
358,21557,['GKIDS']
359,4722,['Pied Piper']
360,16870,['VIZ Media']
361,11979,['Aniplex of America']
362,7472,['Sentai Filmworks']
363,33489,['Netflix']
364,35608,['Sentai Filmworks']
365,39792,['Crunchyroll']
366,39198,['Funimation']
367,39534,['Funimation']
368,40956,['Funimation']
369,38249,[]
370,31741,[]
371,35838,['Sentai Filmworks']
372,32380,['Discotek Media']
373,16001,['Sentai Filmworks']
374,38671,['Funimation']
375,7711,['Disney Platform Distribution']
376,44074,['Funimation']
377,17549,['Sentai Filmworks']
378,16918,['Aniplex of America']
379,33161,[]
380,16664,['GKIDS']
381,3783,['Aniplex of America']
382,186,"['Funimation', 'Tokyopop']"
383,820,['Sentai Filmworks']
384,10271,['Sentai Filmworks']
385,30123,['Funimation']
386,40542,[]
387,2581,['Bandai Entertainment']
388,21647,['Sentai Filmworks']
